name,player_hr_rate,barrel_rate,recent_hr_rate,recent_barrel_rate,hr_vs_R,hr_vs_L,barrel_vs_R,barrel_vs_L,recent_hr_rate_vs_R,recent_hr_rate_vs_L,recent_barrel_rate_vs_R,recent_barrel_rate_vs_L,stand,team
Jung Hoo Lee,0.0208,0.0072,0.0213,0.0,0.0137,0.0435,0.0,0.0333,0.0286,0.0,0.0,0.0,L,San Francisco Giants
Anthony Volpe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,New York Yankees
Giancarlo Stanton,0.0326,0.0729,0.0435,0.1304,0.0323,0.0333,0.0725,0.0741,0.0385,0.05,0.1538,0.1,R,New York Yankees
Nick Kurtz,0.0435,0.0833,0.082,0.1045,0.0617,0.0,0.1099,0.0,0.1163,0.0,0.14,0.0,L,Athletics
Brice Turang,0.0374,0.0465,0.0536,0.0533,0.0519,0.0,0.0532,0.0286,0.0714,0.0,0.0536,0.0526,L,Milwaukee Brewers
Cal Raleigh,0.0424,0.0625,0.069,0.087,0.0455,0.0333,0.0657,0.0513,0.0625,0.1,0.08,0.1176,S,Seattle Mariners
Brandon Lowe,0.0686,0.0513,0.0741,0.0606,0.0845,0.0323,0.0698,0.0,0.0769,0.0667,0.0755,0.0,L,Pittsburgh Pirates
Brandon Nimmo,0.0336,0.0584,0.0492,0.0986,0.0349,0.0303,0.069,0.0263,0.0682,0.0,0.125,0.0,L,Texas Rangers
Sal Stewart,0.0708,0.1079,0.0741,0.1364,0.0698,0.0741,0.0901,0.1786,0.0682,0.1,0.1132,0.2308,R,Cincinnati Reds
Zach Neto,0.0397,0.0491,0.0,0.0349,0.043,0.0303,0.0484,0.0513,0.0,0.0,0.0345,0.0357,R,Los Angeles Angels
Max Muncy,0.0792,0.0984,0.0755,0.0678,0.0641,0.1304,0.0989,0.0968,0.0732,0.0833,0.0612,0.1,L,Los Angeles Dodgers
Ben Rice,0.0947,0.1373,0.098,0.1154,0.0746,0.1429,0.1351,0.1429,0.0303,0.2222,0.0882,0.1667,L,New York Yankees
Nico Hoerner,0.0325,0.019,0.0462,0.037,0.026,0.0435,0.02,0.0172,0.0278,0.069,0.0455,0.027,R,Chicago Cubs
Munetaka Murakami,0.0973,0.1373,0.1228,0.2,0.0964,0.1,0.1333,0.1481,0.1282,0.1111,0.2162,0.1667,L,Chicago White Sox
Colson Montgomery,0.066,0.0796,0.098,0.1176,0.0395,0.1333,0.0723,0.1,0.0541,0.2143,0.0811,0.2143,L,Chicago White Sox
James Wood,0.0758,0.1157,0.0882,0.1818,0.0795,0.0682,0.1299,0.0909,0.087,0.0909,0.2121,0.1364,L,Washington Nationals
Liam Hicks,0.0543,0.0448,0.0417,0.0263,0.0685,0.0,0.0545,0.0,0.0488,0.0,0.0286,0.0,L,Miami Marlins
Xavier Edwards,0.0088,0.036,0.0,0.0588,0.0112,0.0,0.045,0.0,0.0,0.0,0.0645,0.0,S,Miami Marlins
Andy Pages,0.049,0.0403,0.02,0.013,0.0494,0.0476,0.0465,0.0,0.0,0.125,0.0145,0.0,R,Los Angeles Dodgers
Dalton Rushing,0.2,0.1351,0.16,0.08,0.2609,0.0833,0.1905,0.0625,0.2,0.0,0.1111,0.0,L,Los Angeles Dodgers
Junior Caminero,0.0702,0.0515,0.1091,0.0746,0.0833,0.0333,0.0625,0.025,0.125,0.0667,0.087,0.0476,R,Tampa Bay Rays
Iván Herrera,0.0261,0.0676,0.0556,0.0789,0.025,0.0286,0.0594,0.0851,0.0513,0.0667,0.0926,0.0455,R,St. Louis Cardinals
